initial_capital,monthly_deposit,option_budget_fraction,mode,ending_equity,total_deposits,net_profit_after_deposits,return_on_contributed_capital,max_drawdown,stock_trades,option_qualified_signals,option_affordable_signals,option_affordability_rate,total_option_contracts,first_option_trade,ending_below_contributions,ruined
50.0,50.0,0.3,cash_safe,1303.6107356899404,650.0,653.6107356899404,1.0055549779845236,0.06323184835157347,197,7,0,0.0,0,,False,False
100.0,50.0,0.3,cash_safe,1429.2048333490836,700.0,729.2048333490836,1.041721190498691,0.06323184835157347,197,7,0,0.0,0,,False,False
250.0,50.0,0.3,cash_safe,1805.9871263265134,850.0,955.9871263265134,1.1246907368547217,0.06323184835157336,197,7,0,0.0,0,,False,False
500.0,50.0,0.3,cash_safe,2433.957614622232,1100.0,1333.957614622232,1.2126887405656654,0.06323184835157325,197,7,0,0.0,0,,False,False
1000.0,50.0,0.3,cash_safe,4513.317891790005,1600.0,2913.317891790005,1.8208236823687531,0.06323184835157325,197,7,3,0.42857142857142855,3,2018-07-31T18:00:00+00:00,False,False
2500.0,50.0,0.3,cash_safe,8906.339866658063,3100.0,5806.339866658063,1.8730128602122784,0.08254739574674808,197,7,5,0.7142857142857143,9,2017-12-18T14:30:00+00:00,False,False
5000.0,50.0,0.3,cash_safe,14881.583376886463,5600.0,9281.583376886463,1.65742560301544,0.12077342248896272,197,7,7,1.0,17,2017-09-11T15:00:00+00:00,False,False
10000.0,50.0,0.3,cash_safe,28683.087229290908,10600.0,18083.087229290908,1.7059516254048026,0.1430300908746731,197,7,7,1.0,36,2017-09-11T15:00:00+00:00,False,False
50.0,50.0,0.3,additive_margin,1303.6107356899404,650.0,653.6107356899404,1.0055549779845236,0.06323184835157347,197,7,0,0.0,0,,False,False
100.0,50.0,0.3,additive_margin,1429.2048333490836,700.0,729.2048333490836,1.041721190498691,0.06323184835157347,197,7,0,0.0,0,,False,False
250.0,50.0,0.3,additive_margin,1805.9871263265134,850.0,955.9871263265134,1.1246907368547217,0.06323184835157336,197,7,0,0.0,0,,False,False
500.0,50.0,0.3,additive_margin,2433.957614622232,1100.0,1333.957614622232,1.2126887405656654,0.06323184835157325,197,7,0,0.0,0,,False,False
1000.0,50.0,0.3,additive_margin,4569.014702951086,1600.0,2969.0147029510863,1.855634189344429,0.06323184835157325,197,7,3,0.42857142857142855,3,2018-07-31T18:00:00+00:00,False,False
2500.0,50.0,0.3,additive_margin,9029.29029685856,3100.0,5929.29029685856,1.912674289309213,0.08097881603458912,197,7,5,0.7142857142857143,9,2017-12-18T14:30:00+00:00,False,False
5000.0,50.0,0.3,additive_margin,14931.930329558121,5600.0,9331.930329558121,1.6664161302782359,0.12809733722770034,197,7,7,1.0,17,2017-09-11T15:00:00+00:00,False,False
10000.0,50.0,0.3,additive_margin,28673.962230055415,10600.0,18073.962230055415,1.7050907764203223,0.1505352198790041,197,7,7,1.0,34,2017-09-11T15:00:00+00:00,False,False
