hold,feature_set,fold,model_kind,threshold_bps,train_candidates,calibration_candidates,test_candidates,selected_trades,selected_expectancy_bps,selected_win_rate,portfolio_return,max_drawdown,test_mae_bps,test_r2,gap_stop_count,symbol_counts
1_session,baseline,1,ridge,5.0,784,197,364,172,24.910596479882877,0.4186046511627907,0.49294671212304264,0.08759120994692181,138.0535649115191,-0.010060726002524278,7,"{""MSFT"": 60, ""TSLA"": 59, ""AAPL"": 53}"
1_session,baseline,2,ridge,5.0,1076,269,372,151,14.315746366762113,0.3576158940397351,0.19868619035308055,0.2011087385245564,174.7288305653051,-0.06834551817401868,1,"{""TSLA"": 55, ""AAPL"": 50, ""MSFT"": 46}"
1_session,baseline,3,ridge,5.0,1373,344,365,93,72.59657990099228,0.5483870967741935,0.9334883099121589,0.042723371498474744,126.33214774176422,-0.03137390606826407,4,"{""TSLA"": 34, ""AAPL"": 32, ""MSFT"": 27}"
1_session,baseline,4,ridge,5.0,1665,417,364,136,53.03632043642644,0.5367647058823529,1.0130700823043046,0.09879123584325879,111.86938383470304,0.0781560615040835,5,"{""TSLA"": 52, ""MSFT"": 42, ""AAPL"": 42}"
1_session,baseline,1,ridge,10.0,784,197,364,172,24.910596479882877,0.4186046511627907,0.49294671212304264,0.08759120994692181,138.0535649115191,-0.010060726002524278,7,"{""MSFT"": 60, ""TSLA"": 59, ""AAPL"": 53}"
1_session,baseline,2,ridge,10.0,1076,269,372,145,12.789682320920218,0.35172413793103446,0.1643503826110133,0.20110873852455624,174.7288305653051,-0.06834551817401868,1,"{""TSLA"": 53, ""AAPL"": 49, ""MSFT"": 43}"
1_session,baseline,3,ridge,10.0,1373,344,365,54,127.58355210894618,0.7037037037037037,0.9686614068186079,0.02114518681036966,126.33214774176422,-0.03137390606826407,4,"{""TSLA"": 21, ""MSFT"": 17, ""AAPL"": 16}"
1_session,baseline,4,ridge,10.0,1665,417,364,127,61.524599573568665,0.5511811023622047,1.1489833729703154,0.05206110572001433,111.86938383470304,0.0781560615040835,4,"{""TSLA"": 46, ""MSFT"": 41, ""AAPL"": 40}"
1_session,baseline,1,ridge,15.0,784,197,364,171,26.14490561978697,0.42105263157894735,0.5212660326129301,0.08759120994692181,138.0535649115191,-0.010060726002524278,7,"{""MSFT"": 60, ""TSLA"": 58, ""AAPL"": 53}"
1_session,baseline,2,ridge,15.0,1076,269,372,135,15.933992714706191,0.35555555555555557,0.20160019314419775,0.2148069090585028,174.7288305653051,-0.06834551817401868,1,"{""TSLA"": 52, ""MSFT"": 42, ""AAPL"": 41}"
1_session,baseline,3,ridge,15.0,1373,344,365,19,126.82877112795255,0.631578947368421,0.2666560269425484,0.021145186810369736,126.33214774176422,-0.03137390606826407,2,"{""TSLA"": 11, ""AAPL"": 7, ""MSFT"": 1}"
1_session,baseline,4,ridge,15.0,1665,417,364,120,65.22755420351046,0.5583333333333333,1.1546651943743726,0.04731668627364406,111.86938383470304,0.0781560615040835,4,"{""TSLA"": 42, ""MSFT"": 41, ""AAPL"": 37}"
1_session,baseline,1,tree,5.0,784,197,364,164,12.643010129192604,0.3780487804878049,0.2015944311529454,0.10718765566687978,139.77685617998756,-0.04442636711029091,8,"{""MSFT"": 62, ""AAPL"": 54, ""TSLA"": 48}"
1_session,baseline,2,tree,5.0,1076,269,372,146,9.572006887335828,0.3424657534246575,0.11891876663295897,0.23499074550408344,167.3926387719036,-0.01174969283250804,2,"{""MSFT"": 58, ""AAPL"": 46, ""TSLA"": 42}"
1_session,baseline,3,tree,5.0,1373,344,365,147,7.798806615457293,0.35374149659863946,0.10420123160378214,0.10580886911490406,130.80594235207312,-0.08100961981357524,7,"{""MSFT"": 55, ""AAPL"": 53, ""TSLA"": 39}"
1_session,baseline,4,tree,5.0,1665,417,364,150,52.08193555287395,0.5466666666666666,1.146186190624399,0.05355061125743387,116.30088497548118,0.02577227565499729,3,"{""AAPL"": 53, ""TSLA"": 49, ""MSFT"": 48}"
1_session,baseline,1,tree,10.0,784,197,364,155,15.413225081080855,0.3870967741935484,0.24258907067004754,0.10843351252658771,139.77685617998756,-0.04442636711029091,7,"{""MSFT"": 58, ""AAPL"": 51, ""TSLA"": 46}"
1_session,baseline,2,tree,10.0,1076,269,372,136,7.576379443291052,0.3382352941176471,0.08078171618383712,0.23113673353724734,167.3926387719036,-0.01174969283250804,2,"{""MSFT"": 54, ""AAPL"": 42, ""TSLA"": 40}"
1_session,baseline,3,tree,10.0,1373,344,365,89,2.7725939383709988,0.30337078651685395,0.014859997993749152,0.1429119103324213,130.80594235207312,-0.08100961981357524,2,"{""TSLA"": 38, ""MSFT"": 27, ""AAPL"": 24}"
1_session,baseline,4,tree,10.0,1665,417,364,144,50.78945971641495,0.5486111111111112,1.0439369014236632,0.05355061125743387,116.30088497548118,0.02577227565499729,2,"{""AAPL"": 53, ""MSFT"": 47, ""TSLA"": 44}"
1_session,baseline,1,tree,15.0,784,197,364,150,16.761242916257405,0.4,0.2593271032949056,0.09951794205778744,139.77685617998756,-0.04442636711029091,7,"{""MSFT"": 56, ""AAPL"": 49, ""TSLA"": 45}"
1_session,baseline,2,tree,15.0,1076,269,372,124,1.4896985402743432,0.3387096774193548,-0.005934467185404468,0.27615938081727703,167.3926387719036,-0.01174969283250804,2,"{""MSFT"": 48, ""TSLA"": 38, ""AAPL"": 38}"
1_session,baseline,3,tree,15.0,1373,344,365,33,13.906459094052776,0.2727272727272727,0.04249083668366627,0.1058068087328221,130.80594235207312,-0.08100961981357524,2,"{""TSLA"": 16, ""MSFT"": 9, ""AAPL"": 8}"
1_session,baseline,4,tree,15.0,1665,417,364,140,39.09037461040196,0.5071428571428571,0.703489927653504,0.06701864353100785,116.30088497548118,0.02577227565499729,2,"{""AAPL"": 50, ""MSFT"": 46, ""TSLA"": 44}"
1_session,geometry,1,ridge,5.0,784,197,364,173,26.381383547982995,0.4161849710982659,0.536445516313397,0.09796543910447962,137.32229855355777,-0.00466677012916028,6,"{""MSFT"": 61, ""TSLA"": 57, ""AAPL"": 55}"
1_session,geometry,2,ridge,5.0,1076,269,372,145,12.784394301969236,0.3586206896551724,0.164135905536253,0.2011087385245565,171.67439533052183,-0.03972988542744904,1,"{""TSLA"": 51, ""MSFT"": 48, ""AAPL"": 46}"
