hold,feature_set,model_kind,threshold_bps,folds,positive_folds,total_selected_trades,mean_selected_expectancy_bps,median_selected_expectancy_bps,mean_portfolio_return,compounded_fold_return,worst_fold_return,max_fold_drawdown,mean_test_r2,gap_stop_count
2_sessions,geometry,ridge,5.0,4,4,574,44.94883371873557,43.57239924192901,0.8621189680237661,9.09868484941327,0.1549643932423337,0.20110873852455624,0.009530101591493922,15
5_sessions,geometry,ridge,5.0,4,4,574,44.94883371873557,43.57239924192901,0.8621189680237661,9.09868484941327,0.1549643932423337,0.20110873852455624,0.009530101591493922,15
1_session,geometry,ridge,5.0,4,4,573,44.86159794786232,43.49456560911098,0.8534658834274977,8.932820573928366,0.164135905536253,0.2011087385245565,0.008894719861238992,15
2_sessions,geometry,ridge,10.0,4,4,527,49.00969519658796,45.25736819693435,0.7952963403416697,7.755277266345322,0.1007842523531659,0.18607953679371905,0.009530101591493922,15
5_sessions,geometry,ridge,10.0,4,4,527,49.00969519658796,45.25736819693435,0.7952963403416697,7.755277266345322,0.1007842523531659,0.18607953679371905,0.009530101591493922,15
1_session,geometry,ridge,10.0,4,4,523,48.675382509915444,46.0469943934436,0.7780648580836584,7.419751970971637,0.09006486882048215,0.19618863940371137,0.008894719861238992,15
2_sessions,geometry,ridge,15.0,4,4,484,55.189060274992066,48.71575195080187,0.7440406677558085,6.809477006940344,0.06550577479256403,0.1902206119050766,0.009530101591493922,14
5_sessions,geometry,ridge,15.0,4,4,484,55.189060274992066,48.71575195080187,0.7440406677558085,6.809477006940344,0.06550577479256403,0.1902206119050766,0.009530101591493922,14
2_sessions,baseline,ridge,5.0,4,4,553,43.29438100704807,43.74975136725791,0.7260245002204423,6.799879678679234,0.1690963201227238,0.20110873852455627,-0.007443419509758437,16
5_sessions,baseline,ridge,5.0,4,4,553,43.29438100704807,43.74975136725791,0.7260245002204423,6.799879678679234,0.1690963201227238,0.20110873852455627,-0.007443419509758437,16
2_sessions,baseline,ridge,10.0,4,4,498,57.664262131918875,43.48453905645123,0.7149539944880343,6.641774824982859,0.15563943635840527,0.20110873852455607,-0.007443419509758437,16
5_sessions,baseline,ridge,10.0,4,4,498,57.664262131918875,43.48453905645123,0.7149539944880343,6.641774824982859,0.15563943635840527,0.20110873852455607,-0.007443419509758437,16
1_session,geometry,ridge,15.0,4,4,475,55.78673886046177,49.40131038164871,0.7170670770869213,6.408554305604243,0.08573589053761066,0.1902206119050767,0.008894719861238992,14
1_session,baseline,ridge,10.0,4,4,498,56.70210762082948,43.21759802672577,0.6937354686307449,6.354143158971959,0.1643503826110133,0.20110873852455624,-0.007906022185180883,16
1_session,baseline,ridge,5.0,4,4,552,41.21481079601593,38.97345845815466,0.6595478236731467,5.965467237610625,0.19868619035308055,0.2011087385245564,-0.007906022185180883,17
1_session,geometry,tree,5.0,4,4,626,29.782894396446466,24.964093756976904,0.5723591668190685,4.390325431037084,0.13767009983534706,0.22108979258609335,-0.014830768963993046,19
2_sessions,baseline,ridge,15.0,4,4,449,62.65654602849585,47.003164331015896,0.5681453184326473,4.31636879380628,0.12601803261730615,0.2109719456036543,-0.007443419509758437,14
5_sessions,baseline,ridge,15.0,4,4,449,62.65654602849585,47.003164331015896,0.5681453184326473,4.31636879380628,0.12601803261730615,0.2109719456036543,-0.007443419509758437,14
1_session,baseline,ridge,15.0,4,4,445,58.533805916489044,45.68622991164872,0.5360468617685122,3.9888867796711427,0.20160019314419775,0.2148069090585028,-0.007906022185180883,14
2_sessions,geometry,tree,5.0,4,4,630,27.765486638896817,24.94027795122945,0.5372340466043202,3.917512895743007,0.08416822333913987,0.24486559717052972,-0.015206717707515444,20
5_sessions,geometry,tree,5.0,4,4,630,27.765486638896817,24.94027795122945,0.5372340466043202,3.917512895743007,0.08416822333913987,0.24486559717052972,-0.015206717707515444,20
2_sessions,baseline,tree,5.0,4,4,611,21.878180577475597,16.82895748218081,0.3937574724891972,2.400062069768351,0.06774353899462615,0.2213777965008515,-0.02233655146914859,20
5_sessions,baseline,tree,5.0,4,4,611,21.878180577475597,16.82895748218081,0.3937574724891972,2.400062069768351,0.06774353899462615,0.2213777965008515,-0.02233655146914859,20
1_session,baseline,tree,5.0,4,4,607,20.52393979621492,11.107508508264216,0.3927251550035214,2.1861930662647975,0.10420123160378214,0.23499074550408344,-0.027853351025344225,20
1_session,baseline,tree,10.0,4,4,524,19.137914544789464,11.494802262185953,0.34554192156782426,1.7857307461093077,0.014859997993749152,0.23113673353724734,-0.027853351025344225,13
1_session,geometry,tree,10.0,4,4,434,29.242331550894782,26.840440524323014,0.33794735163393114,1.767821183235836,0.01123357829644811,0.2126231709265746,-0.014830768963993046,10
2_sessions,baseline,tree,10.0,4,4,513,19.555313754485155,16.31833500761396,0.31541432785988344,1.7600700216290175,0.026466447173857377,0.2222701124969104,-0.02233655146914859,13
5_sessions,baseline,tree,10.0,4,4,513,19.555313754485155,16.31833500761396,0.31541432785988344,1.7600700216290175,0.026466447173857377,0.2222701124969104,-0.02233655146914859,13
2_sessions,geometry,tree,10.0,4,3,437,26.631301494861432,15.652300530791775,0.36299058637494935,1.7410049718918303,0.0,0.28550165548173523,-0.015206717707515444,11
5_sessions,geometry,tree,10.0,4,3,437,26.631301494861432,15.652300530791775,0.36299058637494935,1.7410049718918303,0.0,0.28550165548173523,-0.015206717707515444,11
2_sessions,geometry,tree,15.0,4,2,408,26.614435854868574,16.773433663308968,0.33162645382880157,1.5400281466052745,-0.03729511916265138,0.23744825652034013,-0.015206717707515444,10
5_sessions,geometry,tree,15.0,4,2,408,26.614435854868574,16.773433663308968,0.33162645382880157,1.5400281466052745,-0.03729511916265138,0.23744825652034013,-0.015206717707515444,10
2_sessions,baseline,tree,15.0,4,3,418,22.94213622154968,25.21022354486403,0.25656743299526585,1.2559641317276782,-0.016406777863211208,0.2725999747909575,-0.02233655146914859,12
5_sessions,baseline,tree,15.0,4,3,418,22.94213622154968,25.21022354486403,0.25656743299526585,1.2559641317276782,-0.016406777863211208,0.2725999747909575,-0.02233655146914859,12
1_session,baseline,tree,15.0,4,3,447,17.811943790246623,15.33385100515509,0.24984335011166786,1.2231326781031941,-0.005934467185404468,0.27615938081727703,-0.027853351025344225,13
1_session,geometry,tree,15.0,4,2,409,20.37813762696204,15.260922868784695,0.23309044401134738,1.0694337767705644,-0.02456633470905123,0.22076938284497688,-0.014830768963993046,11
