feature_set,fold,train_candidates,test_candidates,selected_trades,pairwise_auc,stock_mean_return_bps,stock_portfolio_return,stock_max_drawdown,symbol_counts,option_policy,option_portfolio_return,option_max_drawdown,option_mean_return,option_win_rate,option_total_losses
baseline,1,981,364,48,0.4762600438276114,2.3332518156968773,0.006911978507784022,0.0677236397572098,"{""MSFT"": 26, ""TSLA"": 11, ""AAPL"": 11}",call_14d_delta35,-0.31971707055298926,0.6224763388554655,0.013814288617293615,0.3541666666666667,0
baseline,1,981,364,48,0.4762600438276114,2.3332518156968773,0.006911978507784022,0.0677236397572098,"{""MSFT"": 26, ""TSLA"": 11, ""AAPL"": 11}",call_30d_delta40,0.2824826483636167,0.4373447227950493,0.013770527308258423,0.4166666666666667,0
baseline,1,981,364,48,0.4762600438276114,2.3332518156968773,0.006911978507784022,0.0677236397572098,"{""MSFT"": 26, ""TSLA"": 11, ""AAPL"": 11}",call_45d_delta50,0.3560004061024773,0.3398403866001396,0.01106569532910079,0.4166666666666667,0
baseline,2,1345,372,163,0.5081216159933362,8.467191642526986,0.10922538135045556,0.15763048167226326,"{""MSFT"": 64, ""AAPL"": 55, ""TSLA"": 44}",call_14d_delta35,7.959227854237076,0.8640330614817083,0.042639030395430016,0.3803680981595092,0
baseline,2,1345,372,163,0.5081216159933362,8.467191642526986,0.10922538135045556,0.15763048167226326,"{""MSFT"": 64, ""AAPL"": 55, ""TSLA"": 44}",call_30d_delta40,49.022964112502635,0.5491512816329711,0.03536510566905227,0.4601226993865031,0
baseline,2,1345,372,163,0.5081216159933362,8.467191642526986,0.10922538135045556,0.15763048167226326,"{""MSFT"": 64, ""AAPL"": 55, ""TSLA"": 44}",call_45d_delta50,28.100871422083728,0.4288123336441164,0.026977486392967025,0.4601226993865031,0
baseline,3,1717,365,169,0.5281227173119065,32.67643130796171,0.6964977173878331,0.08460747771562124,"{""TSLA"": 58, ""MSFT"": 58, ""AAPL"": 53}",call_14d_delta35,-0.7251113843613137,0.9432894634431018,0.019624705666691816,0.3668639053254438,0
baseline,3,1717,365,169,0.5281227173119065,32.67643130796171,0.6964977173878331,0.08460747771562124,"{""TSLA"": 58, ""MSFT"": 58, ""AAPL"": 53}",call_30d_delta40,0.15799452720467677,0.7769908548746559,0.011124015890300145,0.3727810650887574,0
baseline,3,1717,365,169,0.5281227173119065,32.67643130796171,0.6964977173878331,0.08460747771562124,"{""TSLA"": 58, ""MSFT"": 58, ""AAPL"": 53}",call_45d_delta50,0.5830888162954384,0.6442401004029771,0.008363787582340302,0.378698224852071,0
baseline,4,2082,364,163,0.679783950617284,50.89274051091447,1.2376853364475195,0.10351454280522104,"{""TSLA"": 58, ""AAPL"": 53, ""MSFT"": 52}",call_14d_delta35,330.6172754425013,0.6998521661602646,0.06206727398689281,0.4723926380368098,0
baseline,4,2082,364,163,0.679783950617284,50.89274051091447,1.2376853364475195,0.10351454280522104,"{""TSLA"": 58, ""AAPL"": 53, ""MSFT"": 52}",call_30d_delta40,60.832858919220925,0.48566335589881904,0.035283829860725514,0.4785276073619632,0
baseline,4,2082,364,163,0.679783950617284,50.89274051091447,1.2376853364475195,0.10351454280522104,"{""TSLA"": 58, ""AAPL"": 53, ""MSFT"": 52}",call_45d_delta50,28.159582277866864,0.377765966752282,0.026194831561697798,0.49079754601226994,0
geometry,1,981,364,117,0.5135135135135136,20.322090581767803,0.25215192070600345,0.09541017561592499,"{""MSFT"": 54, ""AAPL"": 43, ""TSLA"": 20}",call_14d_delta35,1.3857262015414484,0.8255505233135243,0.03866032868195511,0.37606837606837606,0
geometry,1,981,364,117,0.5135135135135136,20.322090581767803,0.25215192070600345,0.09541017561592499,"{""MSFT"": 54, ""AAPL"": 43, ""TSLA"": 20}",call_30d_delta40,3.278304050176641,0.6181107678266088,0.024199120481695615,0.4017094017094017,0
geometry,1,981,364,117,0.5135135135135136,20.322090581767803,0.25215192070600345,0.09541017561592499,"{""MSFT"": 54, ""AAPL"": 43, ""TSLA"": 20}",call_45d_delta50,2.6934388006152843,0.4958032998836014,0.017607220236366437,0.41025641025641024,0
geometry,2,1345,372,165,0.5693461057892545,14.568741768716206,0.2273943443955042,0.12833499344897556,"{""MSFT"": 61, ""AAPL"": 54, ""TSLA"": 50}",call_14d_delta35,26.09964058072018,0.7653230764681086,0.048890450940272,0.40606060606060607,0
geometry,2,1345,372,165,0.5693461057892545,14.568741768716206,0.2273943443955042,0.12833499344897556,"{""MSFT"": 61, ""AAPL"": 54, ""TSLA"": 50}",call_30d_delta40,99.00702719072186,0.5265126387539072,0.03923948337775128,0.4727272727272727,0
geometry,2,1345,372,165,0.5693461057892545,14.568741768716206,0.2273943443955042,0.12833499344897556,"{""MSFT"": 61, ""AAPL"": 54, ""TSLA"": 50}",call_45d_delta50,48.085041481514224,0.4085350659034344,0.029893695018282304,0.4727272727272727,0
geometry,3,1717,365,169,0.6092037983929877,34.77932312705171,0.7594641354272962,0.06526311460254136,"{""MSFT"": 61, ""AAPL"": 55, ""TSLA"": 53}",call_14d_delta35,-0.548348693047557,0.9363024159186566,0.022211233388759067,0.3668639053254438,0
geometry,3,1717,365,169,0.6092037983929877,34.77932312705171,0.7594641354272962,0.06526311460254136,"{""MSFT"": 61, ""AAPL"": 55, ""TSLA"": 53}",call_30d_delta40,0.373794041008054,0.7620699760255533,0.011959955367354653,0.3727810650887574,0
geometry,3,1717,365,169,0.6092037983929877,34.77932312705171,0.7594641354272962,0.06526311460254136,"{""MSFT"": 61, ""AAPL"": 55, ""TSLA"": 53}",call_45d_delta50,0.7591664823862918,0.6275033993884691,0.00888389098118137,0.378698224852071,0
geometry,4,2082,364,162,0.7291666666666667,48.06389339804168,1.1272314786990698,0.10351454280522097,"{""TSLA"": 59, ""AAPL"": 53, ""MSFT"": 50}",call_14d_delta35,151.82336007977457,0.6998521661602646,0.05715994199934005,0.4691358024691358,0
geometry,4,2082,364,162,0.7291666666666667,48.06389339804168,1.1272314786990698,0.10351454280522097,"{""TSLA"": 59, ""AAPL"": 53, ""MSFT"": 50}",call_30d_delta40,38.86042660766844,0.47463966368774907,0.03260832213667285,0.47530864197530864,0
geometry,4,2082,364,162,0.7291666666666667,48.06389339804168,1.1272314786990698,0.10351454280522097,"{""TSLA"": 59, ""AAPL"": 53, ""MSFT"": 50}",call_45d_delta50,20.08621976920451,0.36450898987063374,0.024254731520046362,0.4876543209876543,0
