feature_set,fold,train_candidates,test_candidates,selected_trades,pairwise_auc,stock_mean_return_bps,stock_portfolio_return,stock_max_drawdown,symbol_counts,option_policy,option_portfolio_return,option_max_drawdown,option_mean_return,option_win_rate,option_total_losses
baseline,1,981,364,26,0.4762600438276114,-9.48297668573971,-0.027054248972679273,0.07301144855199898,"{""TSLA"": 9, ""AAPL"": 9, ""MSFT"": 8}",call_14d_delta35,-0.03420370401348216,0.3722749531126054,0.01500763003288589,0.34615384615384615,0
baseline,1,981,364,26,0.4762600438276114,-9.48297668573971,-0.027054248972679273,0.07301144855199898,"{""TSLA"": 9, ""AAPL"": 9, ""MSFT"": 8}",call_30d_delta40,0.424748454147426,0.24380833811817415,0.02041663444259525,0.5,0
baseline,1,981,364,26,0.4762600438276114,-9.48297668573971,-0.027054248972679273,0.07301144855199898,"{""TSLA"": 9, ""AAPL"": 9, ""MSFT"": 8}",call_45d_delta50,0.4070751656911453,0.18118526421788603,0.016905014023393537,0.5,0
baseline,2,1345,372,151,0.5081216159933362,-10.325490059367274,-0.16708972909146247,0.3077448538540553,"{""MSFT"": 62, ""AAPL"": 52, ""TSLA"": 37}",call_14d_delta35,-0.771442020457882,0.9776359267143021,0.013593604441430238,0.3576158940397351,0
baseline,2,1345,372,151,0.5081216159933362,-10.325490059367274,-0.16708972909146247,0.3077448538540553,"{""MSFT"": 62, ""AAPL"": 52, ""TSLA"": 37}",call_30d_delta40,3.1460017860507703,0.7585117905203568,0.01823142198298313,0.4304635761589404,0
baseline,2,1345,372,151,0.5081216159933362,-10.325490059367274,-0.16708972909146247,0.3077448538540553,"{""MSFT"": 62, ""AAPL"": 52, ""TSLA"": 37}",call_45d_delta50,3.3595331441692,0.6162141730867253,0.014630181720001748,0.4304635761589404,0
baseline,3,1717,365,164,0.5281227173119065,34.00788621208147,0.708299864828333,0.08460747771562124,"{""MSFT"": 58, ""AAPL"": 55, ""TSLA"": 51}",call_14d_delta35,-0.8404964780639741,0.9594847504083149,0.01711918661431191,0.35365853658536583,0
baseline,3,1717,365,164,0.5281227173119065,34.00788621208147,0.708299864828333,0.08460747771562124,"{""MSFT"": 58, ""AAPL"": 55, ""TSLA"": 51}",call_30d_delta40,-0.32499922536520565,0.8211269568021036,0.008312377119514217,0.3597560975609756,0
baseline,3,1717,365,164,0.5281227173119065,34.00788621208147,0.708299864828333,0.08460747771562124,"{""MSFT"": 58, ""AAPL"": 55, ""TSLA"": 51}",call_45d_delta50,0.03700729167889816,0.6784633491187347,0.006119374518394068,0.36585365853658536,0
baseline,4,2082,364,161,0.679783950617284,52.229772500679665,1.2640034517316532,0.10351454280522111,"{""TSLA"": 55, ""AAPL"": 53, ""MSFT"": 53}",call_14d_delta35,479.7666037507189,0.6998521661602646,0.06532099934795126,0.4720496894409938,0
baseline,4,2082,364,161,0.679783950617284,52.229772500679665,1.2640034517316532,0.10351454280522111,"{""TSLA"": 55, ""AAPL"": 53, ""MSFT"": 53}",call_30d_delta40,75.15350632821887,0.47463966368774907,0.037033841478198264,0.4782608695652174,0
baseline,4,2082,364,161,0.679783950617284,52.229772500679665,1.2640034517316532,0.10351454280522111,"{""TSLA"": 55, ""AAPL"": 53, ""MSFT"": 53}",call_45d_delta50,33.15992129948449,0.3645089898706336,0.02750819492764954,0.4906832298136646,0
geometry,1,981,364,90,0.5135135135135136,26.480511493574348,0.2562368773380481,0.09097763823122158,"{""MSFT"": 41, ""AAPL"": 35, ""TSLA"": 14}",call_14d_delta35,4.174604016577546,0.7074481555958825,0.048305985258555666,0.4111111111111111,0
geometry,1,981,364,90,0.5135135135135136,26.480511493574348,0.2562368773380481,0.09097763823122158,"{""MSFT"": 41, ""AAPL"": 35, ""TSLA"": 14}",call_30d_delta40,4.323429642019227,0.5326567993691997,0.0298774657625969,0.4444444444444444,0
geometry,1,981,364,90,0.5135135135135136,26.480511493574348,0.2562368773380481,0.09097763823122158,"{""MSFT"": 41, ""AAPL"": 35, ""TSLA"": 14}",call_45d_delta50,3.1453596630671514,0.42563091736434605,0.02199342347445589,0.45555555555555555,0
geometry,2,1345,372,161,0.5693461057892545,19.392032021837302,0.31993335723642513,0.10011409237620317,"{""MSFT"": 61, ""AAPL"": 54, ""TSLA"": 46}",call_14d_delta35,45.82909582640067,0.7653230764681087,0.053266078744760186,0.422360248447205,0
geometry,2,1345,372,161,0.5693461057892545,19.392032021837302,0.31993335723642513,0.10011409237620317,"{""MSFT"": 61, ""AAPL"": 54, ""TSLA"": 46}",call_30d_delta40,128.42866973628045,0.5265126387539074,0.041723873410127156,0.4720496894409938,0
geometry,2,1345,372,161,0.5693461057892545,19.392032021837302,0.31993335723642513,0.10011409237620317,"{""MSFT"": 61, ""AAPL"": 54, ""TSLA"": 46}",call_45d_delta50,57.91363242803306,0.4085350659034343,0.03171927445488995,0.4720496894409938,0
geometry,3,1717,365,169,0.6092037983929877,34.77932312705171,0.7594641354272962,0.06526311460254136,"{""MSFT"": 61, ""AAPL"": 55, ""TSLA"": 53}",call_14d_delta35,-0.548348693047557,0.9363024159186566,0.022211233388759067,0.3668639053254438,0
geometry,3,1717,365,169,0.6092037983929877,34.77932312705171,0.7594641354272962,0.06526311460254136,"{""MSFT"": 61, ""AAPL"": 55, ""TSLA"": 53}",call_30d_delta40,0.373794041008054,0.7620699760255533,0.011959955367354653,0.3727810650887574,0
geometry,3,1717,365,169,0.6092037983929877,34.77932312705171,0.7594641354272962,0.06526311460254136,"{""MSFT"": 61, ""AAPL"": 55, ""TSLA"": 53}",call_45d_delta50,0.7591664823862918,0.6275033993884691,0.00888389098118137,0.378698224852071,0
geometry,4,2082,364,162,0.7291666666666667,48.06389339804168,1.1272314786990698,0.10351454280522097,"{""TSLA"": 59, ""AAPL"": 53, ""MSFT"": 50}",call_14d_delta35,151.82336007977457,0.6998521661602646,0.05715994199934005,0.4691358024691358,0
geometry,4,2082,364,162,0.7291666666666667,48.06389339804168,1.1272314786990698,0.10351454280522097,"{""TSLA"": 59, ""AAPL"": 53, ""MSFT"": 50}",call_30d_delta40,38.86042660766844,0.47463966368774907,0.03260832213667285,0.47530864197530864,0
geometry,4,2082,364,162,0.7291666666666667,48.06389339804168,1.1272314786990698,0.10351454280522097,"{""TSLA"": 59, ""AAPL"": 53, ""MSFT"": 50}",call_45d_delta50,20.08621976920451,0.36450898987063374,0.024254731520046362,0.4876543209876543,0
