initial_capital,monthly_deposit,safety_enabled,ending_equity,total_contributed,net_profit,return_on_contributed_capital,max_drawdown,candidate_trades,trades_taken,trades_skipped_by_safety,option_contracts,hard_stopped,minimum_equity,loss_trade_rate,scenario,route,selected_stock_trades,overlay_eligible,mean_stock_return
2500,0,False,3659.6659551010653,2500.0,1159.6659551010653,0.46386638204042613,0.21782072497444704,100,100,0,6,False,2560.6911849621556,0.61,mixed_control,unprotected,100,3,0.0013755006785873055
2500,0,True,4241.778070849607,2500.0,1741.7780708496066,0.6967112283398427,0.08747101323548645,100,70,30,3,False,2560.6911849621556,0.5857142857142857,mixed_control,protected,100,3,0.0013755006785873055
2500,0,False,2258.8519307729275,2500.0,-241.14806922707248,-0.096459227690829,0.24034540587547515,91,91,0,5,False,1925.443604137234,0.6263736263736264,persistent_bear,unprotected,91,3,-0.00013996018614017582
2500,0,True,2883.688229566791,2500.0,383.68822956679105,0.15347529182671643,0.12942036894509013,91,63,28,5,False,2432.05379113371,0.6031746031746031,persistent_bear,protected,91,3,-0.00013996018614017582
2500,0,False,2600.354750383858,2500.0,100.35475038385812,0.04014190015354325,0.08761877128015927,15,15,0,0,False,2340.415828344434,0.6666666666666666,choppy_high_vol,unprotected,15,0,0.002946558295241327
2500,0,True,2478.957722907736,2500.0,-21.042277092264158,-0.008416910836905662,0.029290114976496584,15,5,10,0,False,2478.957722907736,0.8,choppy_high_vol,protected,15,0,0.002946558295241327
2500,0,False,2691.607960099869,2500.0,191.60796009986916,0.07664318403994766,0.07093379137441225,30,30,0,1,False,2322.6655215639694,0.5,crash_recovery,unprotected,30,2,0.00327517088356247
2500,0,True,2525.2820449068117,2500.0,25.282044906811734,0.010112817962724693,0.07387086356863748,30,19,11,1,False,2315.3228410784063,0.47368421052631576,crash_recovery,protected,30,2,0.00327517088356247
2500,0,False,261.7277615393988,2500.0,-2238.2722384606013,-0.8953088953842405,0.938168266861701,100,100,0,3,False,255.26352242241296,0.71,clustered_tail_losses,unprotected,100,30,-0.02138123938761214
2500,0,True,2817.8987574895036,2500.0,317.8987574895036,0.12715950299580145,0.31742866222966015,100,11,89,2,False,2560.6911849621556,0.7272727272727273,clustered_tail_losses,protected,100,30,-0.02138123938761214
