event_index,candidate_bar,quality,target_planted,resolution_delay_bars
0,500,0,0,8
1,780,0,0,180
2,1060,1,0,2
3,1340,0,0,180
4,1620,1,1,2
5,1900,0,0,180
6,2180,0,1,180
7,2460,1,1,180
8,2740,0,0,2
9,3020,1,1,36
10,3300,0,0,2
11,3580,1,1,180
12,3860,1,1,36
13,4140,0,0,8
14,4420,1,0,8
15,4700,0,0,36
16,4980,0,0,2
17,5260,0,1,2
18,5540,1,1,36
19,5820,0,0,36
20,6100,1,1,36
21,6380,0,1,180
22,6660,0,1,36
23,6940,0,0,180
24,7220,1,0,180
25,7500,0,1,2
26,7780,0,0,8
27,8060,1,1,8
28,8340,1,1,36
29,8620,1,0,2
30,8900,1,0,8
31,9180,1,1,8
32,9460,1,1,8
33,9740,0,0,180
34,10020,1,1,8
35,10300,1,1,36
36,10580,1,1,36
37,10860,0,0,36
38,11140,0,0,36
39,11420,1,0,36
40,11700,0,0,2
41,11980,1,0,2
42,12260,1,1,8
43,12540,0,0,36
44,12820,0,0,36
45,13100,1,1,180
46,13380,1,1,180
47,13660,1,1,36
48,13940,1,0,8
49,14220,1,0,2
50,14500,1,1,8
51,14780,1,1,8
52,15060,0,1,8
53,15340,0,0,180
54,15620,1,1,8
55,15900,1,0,8
56,16180,0,0,8
57,16460,0,0,2
58,16740,0,0,36
59,17020,0,1,180
60,17300,0,0,8
61,17580,1,1,2
62,17860,0,0,36
63,18140,1,1,8
64,18420,1,1,2
65,18700,1,1,180
66,18980,1,1,180
67,19260,0,0,36
68,19540,0,0,36
69,19820,0,0,180
70,20100,0,0,180
71,20380,1,1,2
72,20660,0,0,180
73,20940,1,0,180
74,21220,0,0,36
75,21500,1,1,8
76,21780,1,1,2
77,22060,0,1,180
78,22340,1,1,36
79,22620,1,1,36
80,22900,0,0,8
81,23180,1,1,180
82,23460,0,0,2
83,23740,0,0,180
84,24020,1,1,8
85,24300,1,1,180
87,24860,1,1,8
88,25140,1,1,36
90,25700,1,1,2
94,26820,1,1,8
95,27100,1,0,36
98,27940,1,1,8
101,28780,1,1,2
102,29060,1,0,2
103,29340,1,1,180
106,30180,1,1,36
109,31020,1,1,8
111,31580,1,1,8
112,31860,1,1,2
113,32140,1,1,2
114,32420,1,1,2
116,32980,1,1,8
117,33260,1,1,180
118,33540,1,1,8
119,33820,1,1,36
121,34380,1,0,180
124,35220,1,1,2
127,36060,1,1,8
129,36620,1,1,36
131,37180,1,1,8
133,37740,1,1,36
134,38020,1,1,2
135,38300,1,1,36
136,38580,1,1,180
137,38860,1,1,180
140,39700,1,1,2
143,40540,1,1,8
144,40820,1,1,8
147,41660,0,0,36
148,41940,0,0,8
150,42500,1,1,180
151,42780,1,1,36
152,43060,0,1,36
153,43340,1,0,180
154,43620,1,1,36
155,43900,1,1,2
156,44180,1,1,8
157,44460,1,1,36
158,44740,0,0,8
159,45020,0,1,36
160,45300,0,1,2
161,45580,0,1,180
162,45860,1,1,36
163,46140,1,1,2
164,46420,1,1,8
165,46700,1,1,8
166,46980,0,0,2
167,47260,1,1,2
168,47540,1,0,8
169,47820,1,1,8
170,48100,1,1,8
171,48380,0,0,8
172,48660,0,0,8
173,48940,1,1,180
174,49220,1,1,180
175,49500,0,0,180
176,49780,1,1,36
177,50060,1,0,180
178,50340,1,1,2
179,50620,0,0,180
180,50900,0,0,180
181,51180,0,0,8
182,51460,0,0,180
183,51740,1,1,180
184,52020,1,1,180
185,52300,1,0,2
