event_index,candidate_bar,quality,target_planted,resolution_delay_bars
9,2480,0,0,36
10,2700,0,0,36
15,3800,0,0,8
16,4020,1,0,180
26,6220,0,0,36
27,6440,0,1,36
29,6880,0,0,2
30,7100,0,0,180
38,8860,1,1,2
40,9300,0,0,36
41,9520,1,1,2
48,11060,0,1,36
57,13040,1,1,180
60,13700,1,1,2
61,13920,0,0,8
62,14140,0,0,180
68,15460,0,0,8
72,16340,0,0,8
78,17660,0,0,2
95,21400,0,1,180
96,21620,1,0,180
108,24260,0,0,180
111,24920,0,0,8
115,25800,0,0,8
117,26240,1,1,180
126,28220,1,0,36
128,28660,0,0,180
135,30200,0,0,180
141,31520,1,0,180
148,33060,1,1,2
149,33280,1,1,2
153,34160,1,1,2
162,36140,0,0,36
174,38780,0,0,36
180,40100,1,1,2
186,41420,1,0,2
187,41640,0,0,8
188,41860,1,1,8
196,43620,1,1,180
209,46480,1,1,8
218,48460,1,1,36
235,52200,1,1,8
238,52860,0,0,8
241,53520,0,0,36
250,55500,1,1,180
255,56600,0,0,180
256,56820,1,1,180
262,58140,0,0,36
271,60120,0,0,36
272,60340,1,1,2
299,66280,0,0,180
300,66500,0,0,8
301,66720,1,1,8
324,71780,1,1,8
333,73760,1,1,2
337,74640,1,0,2
343,75960,1,1,8
353,78160,1,0,180
